REGIONAL;ZONA;COD_OFICINA;OFICINA;MES;Asesores;Gerente;Gorra;Camisa;Corbata;Pantalón;Buso;Medias;Gafas;Cinturón;Blazer;Camiseta;Zapato;Total productos;Asesor 2;Asesor 1;Categoria;Rotación;Horario extendido;Año;Trimestre;Productividad
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;14;ALAMOS INDUSTRIAL;1/01/2018;3,5;1;4;50;;32;;;;13;11;15;;125;2;1;PEQUEÑA;1;0;2018;Trim.1;35,7
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;49;ARRECIFES ;1/01/2018;3,5;1;11;42;;12;3;2;2;6;8;30;1;117;2;1;MEDIANA;0;0;2018;Trim.1;33,4
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;80;CAN;1/01/2018;8,5;1;18;73;;60;9;7;1;20;12;39;;239;5;3;MUY GRANDE;1;0;2018;Trim.1;28,1
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;12;CIUDAD UNIVERSITARIA;1/01/2018;2,5;1;4;16;1;10;;;;6;2;6;;45;1;1;MEDIANA;0;0;2018;Trim.1;18
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;14;EL DORADO;1/01/2018;3,5;1;5;20;;10;7;1;1;6;3;21;;74;2;1;PEQUEÑA;1;0;2018;Trim.1;21,1
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;25;FERIA EXPOSICION;1/01/2018;4,5;1;7;30;;20;5;;3;11;6;24;;106;2;2;MEDIANA;1;0;2018;Trim.1;23,6
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;38;FONTIBON;1/01/2018;4,5;1;;43;;37;4;1;4;14;10;17;;130;2;2;MEDIANA;1;0;2018;Trim.1;28,9
BOGOTÁ Y PYME;BOGOTÁ CENTRO;160;GALERIAS;1/01/2018;4,5;1;1;42;1;25;4;1;;13;16;11;;114;2;2;GRANDE;1;0;2018;Trim.1;25,3
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;53;HAYUELOS;1/01/2018;2;0;;44;;25;2;6;;;8;;;85;1;1;Pequeña;0;1;2018;Trim.1;42,5
BOGOTÁ Y PYME;BOGOTÁ CENTRO;48;MARLY;1/01/2018;2,5;1;3;17;1;9;1;;;3;4;8;;46;1;1;PEQUEÑA;1;0;2018;Trim.1;18,4
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;115;PUENTE ARANDA;1/01/2018;2,5;1;5;45;;21;3;;10;5;5;10;;104;1;1;PEQUEÑA;1;0;2018;Trim.1;41,6
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;115;PUENTE ARANDA;1/01/2018;4,5;1;;;;;;;11;;;;;11;2;2;PEQUEÑA;1;0;2018;Trim.1;2,4
BOGOTÁ Y PYME;BOGOTÁ CENTRO;48;PUNTO 52;1/01/2018;2,5;1;;18;;7;4;1;;1;5;4;;40;1;1;PEQUEÑA;1;0;2018;Trim.1;16
BOGOTÁ Y PYME;BOGOTÁ CENTRO;9;TEUSAQUILLO;1/01/2018;3,5;1;5;34;;6;10;2;;;1;28;;86;1;2;PEQUEÑA;0;0;2018;Trim.1;24,6
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;730;ZONA INDUSTRIAL;1/01/2018;2,5;1;11;22;;8;6;;;9;3;15;;74;1;1;PEQUEÑA;1;0;2018;Trim.1;29,6
BOGOTÁ Y PYME;BOGOTÁ SUR ;116;ALTAVISTA;1/01/2018;2,5;1;;63;;17;6;;;7;11;15;;119;1;1;PEQUEÑA;1;1;2018;Trim.1;47,6
BOGOTÁ Y PYME;BOGOTÁ SUR ;34;BARRIO CLARET;1/01/2018;2,5;1;;25;;14;7;1;2;9;2;15;;75;1;1;PEQUEÑA;1;0;2018;Trim.1;30
BOGOTÁ Y PYME;BOGOTÁ SUR ;57;CAZUCA;1/01/2018;2,5;1;;24;;17;2;1;;12;4;10;;70;1;1;PEQUEÑA;0;0;2018;Trim.1;28
BOGOTÁ Y PYME;BOGOTÁ SUR ;59;CENTRO MAYOR;1/01/2018;2,5;1;;50;;16;9;;;7;8;11;;101;1;1;Mediana;1;1;2018;Trim.1;40,4
