REGIONAL;ZONA;COD_OFICINA;OFICINA;MES;Asesores;Gerente;Gorra;Camisa;Corbata;Pantalón;Buso;Medias;Gafas;Cinturón;Blazer;Camiseta;Zapato;Total productos;Asesor 2;Asesor 1;Categoria;Rotación;Horario extendido;Año;Trimestre;Productividad
BOGOTÁ Y PYME;BOGOTÁ SUR ;57;CAZUCA;1/11/2018;2,5;1;;26;;16;7;1;2;10;4;12;2;80;1;1;PEQUEÑA;0;0;2018;Trim.4;32
BOGOTÁ Y PYME;BOGOTÁ SUR ;59;CENTRO MAYOR;1/11/2018;4,5;1;4;79;;50;12;4;;27;16;34;;226;2;2;Mediana;1;1;2018;Trim.4;50,2
BOGOTÁ Y PYME;BOGOTÁ SUR ;670;CORABASTOS;1/11/2018;2,5;1;;33;;19;7;2;13;9;6;19;;108;1;1;PEQUEÑA;0;0;2018;Trim.4;43,2
BOGOTÁ Y PYME;BOGOTÁ SUR ;13;DEL SUR;1/11/2018;2,5;1;;13;;15;6;1;;9;2;14;1;61;1;1;PEQUEÑA;0;0;2018;Trim.4;24,4
SURORIENTE;CUNDINAMARCA Y SUR;94;ESCUELA GONZALO JIMENEZ DE QUESADA;1/11/2018;1;0;3;3;;10;;1;;;;;;17;1;0;DEPENDIENTE;0;0;2018;Trim.4;17
BOGOTÁ Y PYME;BOGOTÁ SUR ;15;KENNEDY;1/11/2018;8,5;1;1;84;;105;14;5;;67;10;68;2;356;5;3;MUY GRANDE;0;1;2018;Trim.4;41,9
BOGOTÁ Y PYME;BOGOTÁ SUR ;18;MUZU;1/11/2018;4,5;1;2;50;;45;8;2;;20;10;24;1;162;2;2;GRANDE;0;0;2018;Trim.4;36
BOGOTÁ Y PYME;BOGOTÁ SUR ;86;PLAZA DE LAS AMERICAS;1/11/2018;2,5;1;;32;;23;6;;;;6;;;67;1;1;DEPENDIENTE;1;1;2018;Trim.4;26,8
SURORIENTE;CUNDINAMARCA Y SUR;33;SIBATE;1/11/2018;2,5;1;;22;;12;2;;1;7;10;26;1;81;1;1;PEQUEÑA;0;0;2018;Trim.4;32,4
BOGOTÁ Y PYME;BOGOTÁ SUR ;58;SOACHA;1/11/2018;2,5;1;;59;;22;;3;;9;9;9;;111;1;1;PEQUEÑA;0;0;2018;Trim.4;44,4
BOGOTÁ Y PYME;BOGOTÁ SUR ;35;VEINTE DE JULIO;1/11/2018;2,5;1;1;34;;25;7;1;1;14;5;13;1;102;1;1;PEQUEÑA;0;0;2018;Trim.4;40,8
NOROCCIDENTE;ANTIOQUIA Y CHOCO;196;BELLO;1/11/2018;5,5;1;;47;;95;10;2;;50;9;37;;250;3;2;GRANDE;1;0;2018;Trim.4;45,5
NOROCCIDENTE;ANTIOQUIA Y CHOCO;277;CALDAS;1/11/2018;3,5;1;3;492;1;65;11;4;;42;2;18;1;639;1;2;PEQUEÑA;0;1;2018;Trim.4;182,6
NOROCCIDENTE;ANTIOQUIA Y CHOCO;215;CAREPA;1/11/2018;3,5;1;;18;;14;1;;;6;6;32;;77;2;1;Pequeña;0;0;2018;Trim.4;22
NOROCCIDENTE;ANTIOQUIA Y CHOCO;205;CHIGORODO;1/11/2018;3,5;1;3;14;;29;;;;9;9;7;;71;2;1;PEQUEÑA;0;0;2018;Trim.4;20,3
NOROCCIDENTE;ANTIOQUIA Y CHOCO;193;ENVIGADO;1/11/2018;3,5;1;1;28;;43;1;1;;16;5;21;;116;2;1;MEDIANA;0;0;2018;Trim.4;33,1
NOROCCIDENTE;ANTIOQUIA Y CHOCO;192;ITAGUI;1/11/2018;4,5;1;;142;;65;8;2;;39;9;26;2;293;2;2;GRANDE;1;0;2018;Trim.4;65,1
NOROCCIDENTE;ANTIOQUIA Y CHOCO;279;PLATINO;1/11/2018;2,5;1;;15;;25;2;2;;9;4;4;;61;1;1;PEQUEÑA;0;0;2018;Trim.4;24,4
NOROCCIDENTE;ANTIOQUIA Y CHOCO;380;QUIBDO;1/11/2018;9,5;1;8;83;;99;2;;;45;7;98;;342;6;3;GRANDE;0;0;2018;Trim.4;36
NOROCCIDENTE;ANTIOQUIA Y CHOCO;185;RIONEGRO;1/11/2018;3,5;1;;16;;58;5;1;;31;12;7;;130;2;1;MEDIANA;0;0;2018;Trim.4;37,1
NOROCCIDENTE;ANTIOQUIA Y CHOCO;213;RIONEGRO SAN NICOLAS - EXT;1/11/2018;2,5;1;7;13;;28;1;1;;11;4;5;;70;1;1;PEQUEÑA;0;0;2018;Trim.4;28
NOROCCIDENTE;ANTIOQUIA Y CHOCO;211;SABANETA AVES MARIA;1/11/2018;2,5;1;;13;;28;9;4;;12;4;18;;88;1;1;PEQUEÑA;0;0;2018;Trim.4;35,2
NOROCCIDENTE;ANTIOQUIA Y CHOCO;210;YOLOMBO;1/11/2018;2,5;1;1;15;;20;9;2;;10;6;13;;76;1;1;PEQUEÑA;0;1;2018;Trim.4;30,4
NOROCCIDENTE;CARIBE NORTE;308;AMERICANO;1/11/2018;3,5;1;4;46;;42;13;1;1;26;13;51;;197;2;1;PEQUEÑA;0;1;2018;Trim.4;56,3
NOROCCIDENTE;CARIBE NORTE;681;AVENIDA BOYACA;1/11/2018;2,5;1;;17;;27;4;3;2;15;6;7;;81;1;1;PEQUEÑA;0;1;2018;Trim.4;32,4
NOROCCIDENTE;CARIBE NORTE;220;BARRANQUILLA;1/11/2018;9,5;1;9;83;;85;17;;7;54;18;48;1;322;5;4;MUY GRANDE;1;0;2018;Trim.4;33,9
NOROCCIDENTE;CARIBE NORTE;221;CALLE 72;1/11/2018;6,5;1;;92;1;51;16;3;9;26;11;54;1;264;3;3;GRANDE;0;0;2018;Trim.4;40,6
NOROCCIDENTE;CARIBE NORTE;229;CALLE MURILLO;1/11/2018;2,5;1;;30;;35;1;2;;24;4;38;;134;1;1;PEQUEÑA;1;0;2018;Trim.4;53,6
NOROCCIDENTE;CARIBE NORTE;682;DEL COUNTRY;1/11/2018;5,5;1;2;74;;43;15;4;1;24;9;36;2;210;3;2;GRANDE;0;0;2018;Trim.4;38,2
NOROCCIDENTE;CARIBE NORTE;304;MAICAO;1/11/2018;2,5;1;;24;1;23;;;;14;;61;;123;1;1;PEQUEÑA;1;0;2018;Trim.4;49,2
NOROCCIDENTE;CARIBE NORTE;408;MARINELO;1/11/2018;2,5;1;5;26;;29;5;;;20;4;24;4;117;1;1;MEDIANA;0;1;2018;Trim.4;46,8
NOROCCIDENTE;CARIBE NORTE;301;MERCADO NUEVO - VALLEDUPAR;1/11/2018;2,5;1;;35;1;26;5;1;1;15;;27;;111;1;1;PEQUEÑA;0;0;2018;Trim.4;44,4
NOROCCIDENTE;CARIBE NORTE;405;RIOHACHA;1/11/2018;5,5;1;4;50;3;67;2;1;;38;4;45;;214;2;3;GRANDE;1;1;2018;Trim.4;38,9
NOROCCIDENTE;CARIBE NORTE;400;SANTA MARTA;1/11/2018;8,5;1;5;56;;106;4;;2;26;13;66;;278;5;3;MUY GRANDE;0;0;2018;Trim.4;32,7
NOROCCIDENTE;CARIBE NORTE;687;SOLEDAD;1/11/2018;3,5;1;;34;;29;4;2;;23;14;30;;136;2;1;MEDIANA;0;0;2018;Trim.4;38,9
NOROCCIDENTE;CARIBE NORTE;300;VALLEDUPAR;1/11/2018;7,5;1;1;59;;77;17;5;;54;6;75;1;295;4;3;MUY GRANDE;0;0;2018;Trim.4;39,3
NOROCCIDENTE;CARIBE NORTE;227;VIA 40;1/11/2018;2,5;1;2;19;;18;;;7;3;4;15;;68;1;1;PEQUEÑA;1;0;2018;Trim.4;27,2
NOROCCIDENTE;CARIBE SUR;234;BASE NAVAL BOLIVAR;1/11/2018;1;0;10;2;;3;6;1;;;;;;22;1;0;DEPENDIENTE;1;0;2018;Trim.4;22
NOROCCIDENTE;CARIBE SUR;230;CARTAGENA;1/11/2018;9,5;1;14;199;;105;4;;;75;12;106;1;516;5;4;MUY GRANDE;0;0;2018;Trim.4;54,3
NOROCCIDENTE;CARIBE SUR;305;MAMONAL;1/11/2018;1,5;1;11;20;;10;4;1;1;8;;5;1;61;1;0;MEDIANA;0;0;2018;Trim.4;40,7
NOROCCIDENTE;CARIBE SUR;240;MOMPOX;1/11/2018;2,5;1;17;9;;24;;;;19;4;40;;113;1;1;MEDIANA;0;0;2018;Trim.4;45,2
NOROCCIDENTE;CARIBE SUR;310;MONTERIA;1/11/2018;9,5;1;6;328;1;107;3;;1;67;5;109;;627;6;3;MUY GRANDE;0;0;2018;Trim.4;66
NOROCCIDENTE;CARIBE SUR;309;PLAZA BOCAGRANDE;1/11/2018;2;0;9;17;;17;3;;;;3;;;49;1;1;DEPENDIENTE;0;1;2018;Trim.4;24,5
NOROCCIDENTE;CARIBE SUR;311;PLAZA DE MERCADO MONTERIA;1/11/2018;5,5;1;11;18;;48;8;;1;27;;34;;147;3;2;GRANDE;0;0;2018;Trim.4;26,7
NOROCCIDENTE;CARIBE SUR;305;PLAZUELA;1/11/2018;2,5;1;;97;;35;6;2;;18;4;16;;178;1;1;MEDIANA;0;0;2018;Trim.4;71,2
NOROCCIDENTE;CARIBE SUR;640;SAN ANDRES;1/11/2018;4,5;1;1;48;1;31;2;;2;9;2;3;;99;2;2;GRANDE;0;0;2018;Trim.4;22
NOROCCIDENTE;CARIBE SUR;306;SAN FELIPE;1/11/2018;2,5;1;4;26;;15;3;3;;;1;;;52;1;1;Pequeña;0;1;2018;Trim.4;20,8
NOROCCIDENTE;CARIBE SUR;650;SINCELEJO;1/11/2018;7,5;1;7;466;;75;2;2;;21;19;56;;648;4;3;MUY GRANDE;0;0;2018;Trim.4;86,4
NOROCCIDENTE;CARIBE SUR;231;TERMINAL MARITIMO;1/11/2018;6,5;1;58;28;;37;14;2;;22;10;36;;207;4;2;Grande;1;0;2018;Trim.4;31,8
NOROCCIDENTE;CARIBE SUR;315;TIERRA ALTA;1/11/2018;1;0;;13;;9;2;;;;4;;;28;0;1;DEPENDIENTE;0;0;2018;Trim.4;28
NOROCCIDENTE;MEDELLIN;278;BELEN;1/11/2018;3,5;1;2;40;;31;6;2;;8;5;15;1;110;2;1;PEQUEÑA;1;0;2018;Trim.4;31,4
NOROCCIDENTE;MEDELLIN;191;CENTRO ADMINIS. LA ALPUJARRA;1/11/2018;4,5;1;;28;;42;1;3;;7;8;17;1;107;2;2;MEDIANA;0;0;2018;Trim.4;23,8
NOROCCIDENTE;MEDELLIN;208;EL POBLADO;1/11/2018;2,5;1;;17;;20;12;3;;13;5;12;;82;1;1;MEDIANA;0;0;2018;Trim.4;32,8
NOROCCIDENTE;MEDELLIN;187;GUAYABAL;1/11/2018;2,5;1;;25;;23;5;3;;12;3;16;3;90;1;1;PEQUEÑA;0;0;2018;Trim.4;36
NOROCCIDENTE;MEDELLIN;190;GUAYAQUIL;1/11/2018;3,5;1;1;15;;43;10;2;;29;4;34;3;141;1;2;MEDIANA;1;0;2018;Trim.4;40,3
NOROCCIDENTE;MEDELLIN;182;LA PLAYA;1/11/2018;4,5;1;11;24;;61;4;3;;24;6;58;;191;2;2;GRANDE;0;0;2018;Trim.4;42,4
NOROCCIDENTE;MEDELLIN;186;LAURELES;1/11/2018;3,5;1;1;34;;46;3;4;;34;6;22;1;151;2;1;MEDIANA;0;0;2018;Trim.4;43,1
NOROCCIDENTE;MEDELLIN;180;MEDELLIN;1/11/2018;8,5;1;11;288;;155;15;2;9;88;19;88;;675;6;2;Muy Grande;1;0;2018;Trim.4;79,4
NOROCCIDENTE;MEDELLIN;264;ONE PLAZA;1/11/2018;2;0;;3;;4;;;;;;;1;8;1;1;DEPENDIENTE;0;0;2018;Trim.4;4
NOROCCIDENTE;MEDELLIN;183;PALACE;1/11/2018;3,5;1;1;33;;65;8;4;1;28;4;27;;171;2;1;MEDIANA;1;0;2018;Trim.4;48,9
NOROCCIDENTE;MEDELLIN;181;SAN FERNANDO PLAZA;1/11/2018;3,5;1;;14;3;8;3;2;31;2;1;3;;67;2;1;PEQUEÑA;0;0;2018;Trim.4;19,1
NOROCCIDENTE;MEDELLIN;181;SAN LUCAS;1/11/2018;2,5;1;2;5;;7;1;1;;5;;1;1;23;1;1;PEQUEÑA;0;0;2018;Trim.4;9,2
NOROCCIDENTE;MEDELLIN;212;SANTA TERESITA;1/11/2018;2,5;1;;3;;27;10;5;;18;2;16;;81;1;1;MEDIANA;1;0;2018;Trim.4;32,4
SURORIENTE;ORIENTAL;610;ARAUCA;1/11/2018;5,5;1;20;21;;40;8;;3;26;1;41;1;161;3;2;GRANDE;0;0;2018;Trim.4;29,3
SURORIENTE;ORIENTAL;490;BARBOSA;1/11/2018;3,5;1;17;28;;29;5;;2;14;6;17;;118;1;2;MEDIANA;1;0;2018;Trim.4;33,7
SURORIENTE;ORIENTAL;500;BARRANCABERMEJA;1/11/2018;5,5;1;4;170;;86;8;1;;58;5;50;1;383;3;2;GRANDE;1;0;2018;Trim.4;69,6
SURORIENTE;ORIENTAL;480;BUCARAMANGA;1/11/2018;11,5;1;29;118;1;160;24;4;8;89;35;101;;569;7;4;MUY GRANDE;0;0;2018;Trim.4;49,5
SURORIENTE;ORIENTAL;484;CABECERA DEL LLANO;1/11/2018;5,5;1;13;108;1;57;11;;1;42;15;54;;302;3;2;GRANDE;1;0;2018;Trim.4;54,9
SURORIENTE;ORIENTAL;450;CUCUTA;1/11/2018;8,5;1;23;227;;114;13;;;56;14;95;;542;5;3;MUY GRANDE;0;0;2018;Trim.4;63,8
SURORIENTE;ORIENTAL;494;FLORIDA BLANCA;1/11/2018;3,5;1;2;39;;62;7;1;;29;15;30;;185;2;1;MEDIANA;1;0;2018;Trim.4;52,9
SURORIENTE;ORIENTAL;481;GIRON;1/11/2018;3,5;1;1;52;;36;7;2;4;21;4;24;;151;1;2;GRANDE;1;0;2018;Trim.4;43,1
SURORIENTE;ORIENTAL;700;MALAGA;1/11/2018;3,5;1;15;19;;49;12;;2;26;18;25;1;167;2;1;PEQUEÑA;0;1;2018;Trim.4;47,7
SURORIENTE;ORIENTAL;720;PAMPLONA;1/11/2018;4,5;1;16;16;;63;14;3;;28;7;31;;178;2;2;GRANDE;0;0;2018;Trim.4;39,6
SURORIENTE;ORIENTAL;491;PUENTE NACIONAL;1/11/2018;2,5;1;6;8;;27;4;1;1;24;7;20;1;99;1;1;PEQUEÑA;0;0;2018;Trim.4;39,6
SURORIENTE;ORIENTAL;488;SAN FRANCISCO - ZN ORIENTAL;1/11/2018;2,5;1;20;35;;20;7;4;;14;4;25;;129;1;1;PEQUEÑA;1;0;2018;Trim.4;51,6
SURORIENTE;ORIENTAL;520;SAN GIL;1/11/2018;5,5;1;2;152;;64;1;;1;23;4;15;;262;3;2;GRANDE;1;0;2018;Trim.4;47,6
SURORIENTE;ORIENTAL;492;SANTANA;1/11/2018;2;0;4;16;1;15;5;1;;;5;;2;49;1;1;PEQUEÑA;0;1;2018;Trim.4;24,5
SURORIENTE;ORIENTAL;530;SOCORRO;1/11/2018;4,5;1;;47;2;50;3;;3;16;7;35;1;164;2;2;MEDIANA;0;0;2018;Trim.4;36,4
SURORIENTE;ORIENTAL;451;TONCHALA;1/11/2018;4,5;1;4;37;1;56;;;;28;4;20;;150;2;2;GRANDE;0;0;2018;Trim.4;33,3
SURORIENTE;ORIENTAL;540;VELEZ;1/11/2018;3,5;1;2;138;;31;3;;2;18;6;29;;229;2;1;MEDIANA;0;1;2018;Trim.4;65,4
OCCIDENTE;CALI;605;ALAMEDA;1/11/2018;2,5;1;1;22;1;22;5;;;9;5;13;1;79;1;1;PEQUEÑA;0;0;2018;Trim.4;31,6
OCCIDENTE;CALI;564;AVENIDA URIBE;1/11/2018;6,5;1;61;18;;50;13;1;1;31;17;53;;245;3;3;MEDIANA;1;0;2018;Trim.4;37,7
OCCIDENTE;CALI;560;CALI;1/11/2018;10,5;1;83;117;;109;14;3;18;69;33;87;1;534;6;4;MUY GRANDE;1;0;2018;Trim.4;50,9
OCCIDENTE;CALI;574;CHIPICHAPE;1/11/2018;5,5;1;10;42;;47;12;5;;31;9;51;1;208;3;2;GRANDE;0;0;2018;Trim.4;37,8
OCCIDENTE;CALI;577;CIUDAD JARDIN;1/11/2018;2,5;1;5;31;1;18;8;;;12;3;20;1;99;1;1;PEQUEÑA;1;0;2018;Trim.4;39,6
OCCIDENTE;CALI;582;COSMOCENTRO;1/11/2018;5,5;1;;29;3;49;3;2;1;33;23;59;;202;3;2;GRANDE;0;0;2018;Trim.4;36,7
OCCIDENTE;CALI;564;EL GUABITO;1/11/2018;4,5;1;10;34;;30;11;;;8;9;12;;114;2;2;MEDIANA;1;0;2018;Trim.4;25,3
OCCIDENTE;CALI;598;EXT. CAJA CALIMA;1/11/2018;3,5;1;7;64;;48;6;2;1;34;14;53;2;231;2;1;PEQUEÑA;1;0;2018;Trim.4;66
OCCIDENTE;CALI;604;IMBANACO;1/11/2018;2,5;1;3;25;;26;12;3;1;18;20;23;;131;1;1;PEQUEÑA;1;0;2018;Trim.4;52,4
OCCIDENTE;CALI;576;LA FLORESTA-CALI;1/11/2018;4,5;1;13;28;;30;6;;;19;11;37;1;145;2;2;PEQUEÑA;0;0;2018;Trim.4;32,2
OCCIDENTE;CALI;567;LA MERCED;1/11/2018;2,5;1;;9;;14;;;;6;2;21;;52;1;1;PEQUEÑA;0;0;2018;Trim.4;20,8
OCCIDENTE;CALI;578;PREMIER El LIMONAR;1/11/2018;3,5;1;23;35;;31;22;1;;23;9;24;1;169;2;1;DEPENDIENTE;0;0;2018;Trim.4;48,3
OCCIDENTE;CALI;565;SAN FERNANDO;1/11/2018;4,5;1;24;19;;27;17;2;;14;8;36;;147;2;2;GRANDE;0;0;2018;Trim.4;32,7
OCCIDENTE;CALI;607;SAN NICOLAS;1/11/2018;2,5;1;;46;1;32;4;;;16;5;32;;136;1;1;PEQUEÑA;1;0;2018;Trim.4;54,4
OCCIDENTE;CALI;586;TERCERA BRIGADA;1/11/2018;3,5;1;4;36;;26;9;3;;6;5;69;;158;2;1;MEDIANA;0;0;2018;Trim.4;45,1
OCCIDENTE;CALI;585;UNICENTRO - CALI;1/11/2018;6,5;1;6;59;;69;16;4;1;44;20;48;2;269;4;2;GRANDE;1;0;2018;Trim.4;41,4
OCCIDENTE;CALI;576;VILLA COLOMBIA;1/11/2018;2,5;1;;37;;31;4;2;;17;8;17;;116;1;1;PEQUEÑA;0;0;2018;Trim.4;46,4
OCCIDENTE;CENTRAL;551;AVENIDA QUINTA;1/11/2018;5,5;1;3;55;1;78;6;3;3;48;16;45;;258;3;2;GRANDE;0;0;2018;Trim.4;46,9
OCCIDENTE;CENTRAL;362;EL ESPINAL;1/11/2018;4,5;1;15;861;1;59;7;3;5;30;9;32;1;1023;2;2;MEDIANA;0;0;2018;Trim.4;227,3
OCCIDENTE;CENTRAL;624;EL JORDAN;1/11/2018;2,5;1;22;25;;32;6;2;2;28;15;18;;150;1;1;PEQUEÑA;1;0;2018;Trim.4;60
OCCIDENTE;CENTRAL;388;GARZON;1/11/2018;2,5;1;;136;;31;;;;9;;23;1;200;1;1;PEQUEÑA;0;0;2018;Trim.4;80
OCCIDENTE;CENTRAL;360;GIRARDOT;1/11/2018;4,5;1;52;73;;89;9;;3;57;17;65;;365;3;1;GRANDE;1;0;2018;Trim.4;81,1
OCCIDENTE;CENTRAL;391;HONDA;1/11/2018;3,5;1;2;100;;55;8;;2;22;5;25;1;220;2;1;PEQUEÑA;1;0;2018;Trim.4;62,9
OCCIDENTE;CENTRAL;550;IBAGUE;1/11/2018;8,5;1;46;77;4;90;19;3;4;59;19;79;;400;5;3;MUY GRANDE;1;0;2018;Trim.4;47,1
OCCIDENTE;CENTRAL;392;LA DORADA;1/11/2018;3,5;1;;180;;73;9;1;1;47;6;45;1;363;1;2;PEQUEÑA;0;0;2018;Trim.4;103,7
OCCIDENTE;CENTRAL;394;MARIQUITA;1/11/2018;3,5;1;66;37;;56;3;;1;25;5;25;1;219;2;1;PEQUEÑA;1;1;2018;Trim.4;62,6
OCCIDENTE;CENTRAL;366;MELGAR;1/11/2018;2,5;1;1;68;;20;7;1;1;11;4;14;;127;1;1;PEQUEÑA;1;0;2018;Trim.4;50,8
OCCIDENTE;CENTRAL;390;NEIVA;1/11/2018;7,5;1;3;60;;99;6;;1;43;15;85;;312;4;3;MUY GRANDE;0;0;2018;Trim.4;41,6
OCCIDENTE;CENTRAL;425;PITALITO;1/11/2018;5,5;1;5;79;;73;7;;2;36;2;42;;246;3;2;GRANDE;0;0;2018;Trim.4;44,7
OCCIDENTE;CENTRAL;265;PUERTO BOYACA;1/11/2018;3,5;1;5;146;;40;7;1;2;17;5;27;1;251;2;1;PEQUEÑA;0;0;2018;Trim.4;71,7
OCCIDENTE;CENTRAL;389;SAN JUAN PLAZA;1/11/2018;2,5;1;;27;1;18;10;;1;12;2;25;;96;1;1;PEQUEÑA;0;0;2018;Trim.4;38,4
OCCIDENTE;CENTRAL;364;TOLEMAIDA;1/11/2018;4,5;1;25;369;;29;9;3;;17;1;47;;500;2;2;GRANDE;0;1;2018;Trim.4;111,1
OCCIDENTE;CENTRAL;554;YULIMA;1/11/2018;6,5;1;53;65;;96;14;;;35;13;58;;334;4;2;GRANDE;0;0;2018;Trim.4;51,4
SURORIENTE;CUNDINAMARCA Y SUR;361;AGUA DE DIOS;1/11/2018;2,5;1;3;9;;50;5;;;29;11;18;;125;1;1;PEQUEÑA;0;0;2018;Trim.4;50
SURORIENTE;CUNDINAMARCA Y SUR;320;CAQUEZA;1/11/2018;2,5;1;;28;;15;2;;6;12;14;21;;98;1;1;PEQUEÑA;1;0;2018;Trim.4;39,2
SURORIENTE;CUNDINAMARCA Y SUR;330;CHIPAQUE;1/11/2018;2,5;1;16;10;1;3;2;;7;4;14;27;;84;1;1;PEQUEÑA;0;0;2018;Trim.4;33,6
SURORIENTE;CUNDINAMARCA Y SUR;340;CHOACHI;1/11/2018;2,5;1;;23;1;6;5;;5;12;11;28;;91;1;1;PEQUEÑA;0;0;2018;Trim.4;36,4
SURORIENTE;META, BOYACA Y NARIÑO;371;COGUA;1/11/2018;2,5;1;;62;;8;1;;1;4;13;11;;100;1;1;PEQUEÑA;0;0;2018;Trim.4;40
SURORIENTE;CUNDINAMARCA Y SUR;350;FACATATIVA;1/11/2018;5,5;1;4;381;;57;5;2;;25;18;127;;619;3;2;GRANDE;1;0;2018;Trim.4;112,5
SURORIENTE;CUNDINAMARCA Y SUR;620;FLORENCIA;1/11/2018;7,5;1;16;146;;82;4;2;2;37;13;15;;317;4;3;GRANDE;0;1;2018;Trim.4;42,3
SURORIENTE;CUNDINAMARCA Y SUR;341;FOMEQUE;1/11/2018;2,5;1;2;12;;4;2;;4;2;19;3;;48;1;1;PEQUEÑA;1;1;2018;Trim.4;19,2
SURORIENTE;CUNDINAMARCA Y SUR;353;FUSAGASUGA;1/11/2018;3,5;1;4;55;;37;8;;;15;12;35;1;167;2;1;MEDIANA;0;0;2018;Trim.4;47,7
SURORIENTE;CUNDINAMARCA Y SUR;269;LETICIA;1/11/2018;2,5;1;2;24;;29;4;;;20;;5;;84;1;1;PEQUEÑA;0;1;2018;Trim.4;33,6
SURORIENTE;CUNDINAMARCA Y SUR;345;MADRID;1/11/2018;3,5;1;9;88;;43;2;1;;15;10;19;1;188;2;1;MEDIANA;1;0;2018;Trim.4;53,7
SURORIENTE;CUNDINAMARCA Y SUR;257;MONTERREY;1/11/2018;2,5;1;8;26;;14;5;;;10;1;20;1;85;1;1;PEQUEÑA;1;0;2018;Trim.4;34
SURORIENTE;CUNDINAMARCA Y SUR;351;NOVA PLAZA FACATATIVA;1/11/2018;2;0;10;26;;13;5;;;;7;;1;62;1;1;DEPENDIENTE;1;0;2018;Trim.4;31
SURORIENTE;CUNDINAMARCA Y SUR;691;PUERTO LEGUIZAMO;1/11/2018;2,5;1;27;121;;19;4;;4;16;1;32;1;225;1;1;PEQUEÑA;0;0;2018;Trim.4;90
SURORIENTE;META, BOYACA Y NARIÑO;355;SANTA LUCIA DE CHIA;1/11/2018;2,5;1;1;28;;22;6;;1;11;2;18;;89;1;1;MEDIANA;0;0;2018;Trim.4;35,6
SURORIENTE;CUNDINAMARCA Y SUR;363;TOCAIMA;1/11/2018;2,5;1;2;31;;23;3;;;10;9;18;1;97;1;1;PEQUEÑA;1;0;2018;Trim.4;38,8
SURORIENTE;CUNDINAMARCA Y SUR;342;UBAQUE;1/11/2018;1;0;3;8;1;5;4;;1;;4;;;26;0;1;PEQUEÑA;0;0;2018;Trim.4;26
SURORIENTE;CUNDINAMARCA Y SUR;331;UNE;1/11/2018;1;0;;6;1;3;1;;8;;4;;;23;0;1;DEPENDIENTE;0;0;2018;Trim.4;23
SURORIENTE;META, BOYACA Y NARIÑO;23;VILLAPINZON;1/11/2018;2,5;1;11;17;;14;4;;15;8;5;17;;91;1;1;PEQUEÑA;1;0;2018;Trim.4;36,4
SURORIENTE;CUNDINAMARCA Y SUR;252;YOPAL;1/11/2018;5,5;1;7;35;;40;7;;2;26;12;17;1;147;3;2;GRANDE;0;0;2018;Trim.4;26,7
SURORIENTE;META, BOYACA Y NARIÑO;370;ZIPAQUIRA;1/11/2018;4,5;1;10;116;;42;5;;1;20;7;27;;228;2;2;MEDIANA;0;0;2018;Trim.4;50,7
SURORIENTE;META, BOYACA Y NARIÑO;411;ACACIAS;1/11/2018;3,5;1;20;25;1;38;3;;;20;2;37;;146;2;1;MEDIANA;1;0;2018;Trim.4;41,7
SURORIENTE;META, BOYACA Y NARIÑO;260;DUITAMA;1/11/2018;4,5;1;9;214;;73;14;;1;39;20;40;;410;2;2;GRANDE;0;0;2018;Trim.4;91,1
SURORIENTE;META, BOYACA Y NARIÑO;413;GRANADA;1/11/2018;2,5;1;6;9;;17;6;;;17;4;25;;84;1;1;MEDIANA;1;0;2018;Trim.4;33,6
SURORIENTE;META, BOYACA Y NARIÑO;430;IPIALES;1/11/2018;4,5;1;67;119;4;30;17;;4;19;22;35;;317;2;2;MEDIANA;0;1;2018;Trim.4;70,4
SURORIENTE;META, BOYACA Y NARIÑO;417;LLANOCENTRO;1/11/2018;2,5;1;;62;;28;3;3;;5;1;11;;113;1;1;PEQUEÑA;0;0;2018;Trim.4;45,2
SURORIENTE;META, BOYACA Y NARIÑO;690;MOCOA;1/11/2018;5,5;1;10;24;;57;3;;;39;8;14;2;157;3;2;MEDIANA;0;1;2018;Trim.4;28,5
SURORIENTE;META, BOYACA Y NARIÑO;261;PAIPA;1/11/2018;2,5;1;61;87;;25;1;;1;15;8;8;;206;1;1;PEQUEÑA;1;0;2018;Trim.4;82,4
SURORIENTE;META, BOYACA Y NARIÑO;420;PASTO;1/11/2018;7,5;1;1;43;;105;6;;1;43;29;87;;315;4;3;MUY GRANDE;1;0;2018;Trim.4;42
SURORIENTE;CUNDINAMARCA Y SUR;54;SAN JOSE DEL GUAVIARE;1/11/2018;5,5;1;41;59;;42;14;2;6;25;10;55;1;255;3;2;GRANDE;0;0;2018;Trim.4;46,4
SURORIENTE;META, BOYACA Y NARIÑO;445;SIBUNDOY;1/11/2018;2,5;1;7;40;1;16;7;;4;16;9;38;;138;1;1;PEQUEÑA;1;0;2018;Trim.4;55,2
SURORIENTE;META, BOYACA Y NARIÑO;270;SOGAMOSO;1/11/2018;4,5;1;53;40;;61;6;1;2;31;22;47;;263;2;2;GRANDE;1;0;2018;Trim.4;58,4
SURORIENTE;META, BOYACA Y NARIÑO;250;TUNJA;1/11/2018;7,5;1;25;79;;76;38;2;;38;26;69;1;354;4;3;MUY GRANDE;1;0;2018;Trim.4;47,2
SURORIENTE;META, BOYACA Y NARIÑO;435;TUQUERRES;1/11/2018;2,5;1;7;2;;15;6;;1;10;8;17;;66;1;1;PEQUEÑA;0;0;2018;Trim.4;26,4
