REGIONAL;ZONA;COD_OFICINA;OFICINA;MES;Asesores;Gerente;Gorra;Camisa;Corbata;Pantalón;Buso;Medias;Gafas;Cinturón;Blazer;Camiseta;Zapato;Total productos;Asesor 2;Asesor 1;Categoria;Rotación;Horario extendido;Año;Trimestre;Productividad
SURORIENTE;CUNDINAMARCA Y SUR;345;MADRID;ene-18;2,5;1;;193;;15;2;;;10;14;14;;248;1;1;MEDIANA;0;0;2018;Trim.1;99,2
SURORIENTE;CUNDINAMARCA Y SUR;257;MONTERREY;ene-18;2,5;1;1;15;;8;2;;1;3;1;13;1;45;1;1;PEQUEÑA;0;0;2018;Trim.1;18
SURORIENTE;CUNDINAMARCA Y SUR;351;NOVA PLAZA FACATATIVA;ene-18;2;0;11;30;1;12;;;;;11;;;65;1;1;DEPENDIENTE;0;0;2018;Trim.1;32,5
SURORIENTE;CUNDINAMARCA Y SUR;691;PUERTO LEGUIZAMO;ene-18;2,5;1;58;131;;7;7;1;;7;5;9;;225;1;1;PEQUEÑA;0;0;2018;Trim.1;90
SURORIENTE;META, BOYACA Y NARIÑO;355;SANTA LUCIA DE CHIA;ene-18;2,5;1;1;51;1;20;5;1;1;6;3;17;;106;1;1;MEDIANA;1;0;2018;Trim.1;42,4
SURORIENTE;CUNDINAMARCA Y SUR;363;TOCAIMA;ene-18;2,5;1;2;35;;18;5;;1;11;9;7;1;89;1;1;PEQUEÑA;0;0;2018;Trim.1;35,6
SURORIENTE;CUNDINAMARCA Y SUR;342;UBAQUE;ene-18;2;0;1;5;;2;1;;1;;3;;;13;1;1;PEQUEÑA;0;0;2018;Trim.1;6,5
SURORIENTE;CUNDINAMARCA Y SUR;331;UNE;ene-18;1;0;7;4;1;;;;5;;4;;;21;1;0;DEPENDIENTE;0;0;2018;Trim.1;21
SURORIENTE;META, BOYACA Y NARIÑO;23;VILLAPINZON;ene-18;2,5;1;4;10;;15;2;;5;11;9;10;;66;1;1;PEQUEÑA;0;0;2018;Trim.1;26,4
SURORIENTE;CUNDINAMARCA Y SUR;252;YOPAL;ene-18;5,5;1;9;47;;69;4;;1;23;6;46;1;206;3;2;GRANDE;0;0;2018;Trim.1;37,5
SURORIENTE;META, BOYACA Y NARIÑO;370;ZIPAQUIRA;ene-18;4,5;1;16;90;;34;6;;9;17;5;34;1;212;2;2;MEDIANA;0;0;2018;Trim.1;47,1
SURORIENTE;META, BOYACA Y NARIÑO;411;ACACIAS;ene-18;3,5;1;;15;;26;2;1;;17;6;36;;103;2;1;MEDIANA;0;0;2018;Trim.1;29,4
SURORIENTE;META, BOYACA Y NARIÑO;260;DUITAMA;ene-18;4,5;1;6;87;;63;18;;1;41;16;31;;263;2;2;GRANDE;0;0;2018;Trim.1;58,4
SURORIENTE;META, BOYACA Y NARIÑO;413;GRANADA;ene-18;2,5;1;;379;;13;2;;2;10;7;11;;424;1;1;MEDIANA;0;0;2018;Trim.1;169,6
SURORIENTE;META, BOYACA Y NARIÑO;430;IPIALES;ene-18;4,5;1;13;654;;20;7;;7;10;20;121;;852;2;2;MEDIANA;0;1;2018;Trim.1;189,3
