REGIONAL;ZONA;COD_OFICINA;OFICINA;MES;Planta finalta;Planta de Gerente oficial;P.A.P;Cuenta de ahorros ;Cuenta corriente;Libranza ;Tarjeta de crédito ;Crédito hipotecario;Crédito de consumo o comercial ;Banca seguros ;CDT;Cuenta protegida;Libre destino;Total productos;Asesor 2;Asesor 1;Productividad
BOGOTÁ Y PYME;BOGOTÁ CENTRO;170;SIETE DE AGOSTO;1/03/2019;2,12;1;4;13;;16;3;8;;15;3;14;2;78;1;1;36,79245283
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;87;TITAN PLAZA;1/03/2019;3,12;1;9;118;3;38;9;1;1;18;14;29;1;241;2;1;77,24358974
BOGOTÁ Y PYME;BOGOTÁ NORTE;41;TOBERIN;1/03/2019;2,68;1;;74;1;25;6;2;3;14;2;21;;148;1;2;55,2238806
BOGOTÁ Y PYME;BOGOTÁ NORTE;39;UNICENTRO;1/03/2019;3,68;1;2;19;1;27;7;2;1;7;7;9;;82;2;2;22,2826087
BOGOTÁ Y PYME;BOGOTÁ NORTE;22;USAQUEN;1/03/2019;3,12;1;1;21;1;40;16;5;;33;4;6;1;128;2;1;41,02564103
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;49;ARRECIFES ;1/03/2019;3,12;1;4;33;;23;8;3;;13;10;16;1;111;2;1;35,57692308
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;80;CAN;1/03/2019;7,24;1;34;103;1;61;28;19;1;29;15;39;2;332;5;3;45,85635359
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;12;CIUDAD UNIVERSITARIA;1/03/2019;2,12;1;1;17;1;22;5;1;;9;3;10;;69;1;1;32,54716981
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;14;EL DORADO;1/03/2019;3,12;1;4;51;;32;8;2;3;14;4;20;1;139;2;1;44,55128205
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;25;FERIA EXPOSICION;1/03/2019;3,68;1;3;45;;39;7;2;2;15;2;20;;135;2;2;36,68478261
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;38;FONTIBON;1/03/2019;3,68;1;10;74;1;58;6;1;6;23;14;24;1;218;2;2;59,23913043
BOGOTÁ Y PYME;BOGOTÁ CENTRO;160;GALERIAS;1/03/2019;3,68;1;3;36;;33;;2;1;19;8;21;;123;2;2;33,42391304
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;53;HAYUELOS;1/03/2019;2,12;1;9;49;;25;5;3;;15;13;18;3;140;1;1;66,03773585
