REGIONAL;ZONA;COD_OFICINA;OFICINA;MES;Planta finalta;Planta de Gerente oficial;P.A.P;Cuenta de ahorros ;Cuenta corriente;Libranza ;Tarjeta de crédito ;Crédito hipotecario;Crédito de consumo o comercial ;Banca seguros ;CDT;Cuenta protegida;Libre destino;Total productos;Asesor 2;Asesor 1;Productividad
OCCIDENTE;CALI;585;UNICENTRO - CALI;1/03/2019;5,68;1;10;43;1;85;20;1;;60;25;57;1;303;4;2;53,34507042
OCCIDENTE;CALI;576;VILLA COLOMBIA;1/03/2019;2,12;1;2;56;;31;5;1;;19;16;14;;144;1;1;67,9245283
OCCIDENTE;CENTRAL;551;AVENIDA QUINTA;1/03/2019;4,68;1;30;90;;60;;3;1;33;13;43;1;274;3;2;58,54700855
OCCIDENTE;CENTRAL;362;EL ESPINAL;1/03/2019;3,68;1;8;165;;57;5;;1;25;3;45;;309;2;2;83,9673913
OCCIDENTE;CENTRAL;624;EL JORDAN;1/03/2019;2,12;1;;75;;43;5;2;;20;10;26;;181;1;1;85,37735849
OCCIDENTE;CENTRAL;388;GARZON;1/03/2019;2,12;1;;33;;28;5;1;;13;1;19;;100;1;1;47,16981132
OCCIDENTE;CENTRAL;360;GIRARDOT;1/03/2019;4,12;1;10;105;;103;6;3;1;46;13;250;;537;3;1;130,3398058
OCCIDENTE;CENTRAL;391;HONDA;1/03/2019;3,12;1;25;43;;50;8;2;3;31;13;24;;199;2;1;63,78205128
OCCIDENTE;CENTRAL;550;IBAGUE;1/03/2019;7,24;1;17;89;;82;11;7;;48;21;56;1;332;5;3;45,85635359
OCCIDENTE;CENTRAL;392;LA DORADA;1/03/2019;2,68;1;19;236;;91;2;2;2;55;8;45;;460;1;2;171,641791
OCCIDENTE;CENTRAL;394;MARIQUITA;1/03/2019;3,12;1;42;40;;57;5;;;15;7;8;;174;2;1;55,76923077
OCCIDENTE;CENTRAL;366;MELGAR;1/03/2019;2,12;1;23;22;;40;2;2;;25;5;25;;144;1;1;67,9245283
OCCIDENTE;CENTRAL;390;NEIVA;1/03/2019;6,24;1;4;98;;87;8;;1;38;16;88;;340;4;3;54,48717949
OCCIDENTE;CENTRAL;425;PITALITO;1/03/2019;4,68;1;41;61;;72;7;1;2;44;9;65;1;303;3;2;64,74358974
OCCIDENTE;CENTRAL;265;PUERTO BOYACA;1/03/2019;3,12;1;8;26;;43;8;;;17;8;60;;170;2;1;54,48717949
OCCIDENTE;CENTRAL;389;SAN JUAN PLAZA;1/03/2019;2,12;1;;28;4;15;4;;;5;2;5;;63;1;1;29,71698113
OCCIDENTE;CENTRAL;364;TOLEMAIDA;1/03/2019;3,68;1;30;86;;25;4;1;;17;1;41;;205;2;2;55,70652174
OCCIDENTE;CENTRAL;554;YULIMA;1/03/2019;5,68;1;20;99;2;63;4;;2;28;17;50;1;286;4;2;50,35211268
SURORIENTE;CUNDINAMARCA Y SUR;361;AGUA DE DIOS;1/03/2019;2,12;1;5;27;;37;6;1;;22;13;14;;125;1;1;58,96226415
SURORIENTE;CUNDINAMARCA Y SUR;320;CAQUEZA;1/03/2019;2,12;1;5;40;;17;3;1;7;15;25;16;;129;1;1;60,8490566
SURORIENTE;CUNDINAMARCA Y SUR;330;CHIPAQUE;1/03/2019;2,12;1;2;28;;6;1;;7;6;9;19;;78;1;1;36,79245283
SURORIENTE;CUNDINAMARCA Y SUR;340;CHOACHI;1/03/2019;2,12;1;1;36;;12;8;;;10;10;11;1;89;1;1;41,98113208
SURORIENTE;META, BOYACA Y NARIÑO;371;COGUA;1/03/2019;2,12;1;;34;;16;;;1;8;12;17;;88;1;1;41,50943396
SURORIENTE;CUNDINAMARCA Y SUR;350;FACATATIVA;1/03/2019;4,68;1;;179;1;83;5;;;32;13;112;;425;3;2;90,81196581
SURORIENTE;CUNDINAMARCA Y SUR;620;FLORENCIA;1/03/2019;6,24;1;41;99;;44;4;;;32;19;194;;433;4;3;69,39102564
SURORIENTE;CUNDINAMARCA Y SUR;341;FOMEQUE;1/03/2019;2,12;1;;32;;9;3;1;3;7;10;3;;68;1;1;32,0754717
SURORIENTE;CUNDINAMARCA Y SUR;353;FUSAGASUGA;1/03/2019;3,12;1;7;93;;51;6;;;24;13;121;1;316;2;1;101,2820513
SURORIENTE;CUNDINAMARCA Y SUR;269;LETICIA;1/03/2019;2,12;1;4;93;4;25;8;1;1;18;12;49;1;216;1;1;101,8867925
SURORIENTE;CUNDINAMARCA Y SUR;345;MADRID;1/03/2019;3,12;1;17;91;;40;4;1;;15;6;16;;190;2;1;60,8974359
SURORIENTE;CUNDINAMARCA Y SUR;257;MONTERREY;1/03/2019;2,12;1;4;49;;17;4;;;11;;8;2;95;1;1;44,81132075
SURORIENTE;CUNDINAMARCA Y SUR;351;NOVA PLAZA FACATATIVA;1/03/2019;1,56;0;9;32;;15;4;1;;;11;;;72;1;1;46,15384615
SURORIENTE;CUNDINAMARCA Y SUR;691;PUERTO LEGUIZAMO;1/03/2019;2,12;1;33;102;;10;;;2;7;1;26;;181;1;1;85,37735849
SURORIENTE;META, BOYACA Y NARIÑO;355;SANTA LUCIA DE CHIA;1/03/2019;2,12;1;;39;1;19;5;;;8;9;12;;93;1;1;43,86792453
SURORIENTE;CUNDINAMARCA Y SUR;363;TOCAIMA;1/03/2019;2,12;1;;41;;30;5;4;;11;6;20;;117;1;1;55,18867925
SURORIENTE;CUNDINAMARCA Y SUR;342;UBAQUE;1/03/2019;0,56;0;;19;1;1;;;6;;13;;;40;0;1;71,42857143
SURORIENTE;CUNDINAMARCA Y SUR;331;UNE;1/03/2019;0,56;0;6;20;2;4;;;2;;10;;;44;0;1;78,57142857
SURORIENTE;META, BOYACA Y NARIÑO;23;VILLAPINZON;1/03/2019;2,12;1;3;11;;10;3;;6;5;10;12;;60;1;1;28,30188679
SURORIENTE;CUNDINAMARCA Y SUR;252;YOPAL;1/03/2019;4,68;1;12;43;;49;2;;2;28;5;28;2;171;3;2;36,53846154
SURORIENTE;META, BOYACA Y NARIÑO;370;ZIPAQUIRA;1/03/2019;3,68;1;5;67;;38;5;;5;16;14;12;;162;2;2;44,02173913
SURORIENTE;META, BOYACA Y NARIÑO;411;ACACIAS;1/03/2019;3,12;1;7;36;;24;;;1;19;4;50;;141;2;1;45,19230769
SURORIENTE;META, BOYACA Y NARIÑO;260;DUITAMA;1/03/2019;3,68;1;15;62;;93;14;3;;59;29;47;1;323;2;2;87,77173913
SURORIENTE;META, BOYACA Y NARIÑO;413;GRANADA;1/03/2019;2,12;1;1;22;;20;3;;1;18;2;8;;75;1;1;35,37735849
SURORIENTE;META, BOYACA Y NARIÑO;430;IPIALES;1/03/2019;3,68;1;21;69;;44;9;;8;23;39;54;1;268;2;2;72,82608696
SURORIENTE;META, BOYACA Y NARIÑO;417;LLANOCENTRO;1/03/2019;2,12;1;;35;;21;1;1;;9;3;16;;86;1;1;40,56603774
SURORIENTE;META, BOYACA Y NARIÑO;690;MOCOA;1/03/2019;4,68;1;13;52;;33;12;;;17;5;36;1;169;3;2;36,11111111
SURORIENTE;META, BOYACA Y NARIÑO;261;PAIPA;1/03/2019;2,12;1;6;22;;28;6;;3;9;17;6;;97;1;1;45,75471698
SURORIENTE;META, BOYACA Y NARIÑO;420;PASTO;1/03/2019;6,24;1;4;337;;74;4;;;33;17;107;1;577;4;3;92,46794872
SURORIENTE;CUNDINAMARCA Y SUR;54;SAN JOSE DEL GUAVIARE;1/03/2019;4,68;1;21;145;;43;13;;4;28;7;51;;312;3;2;66,66666667
SURORIENTE;META, BOYACA Y NARIÑO;445;SIBUNDOY;1/03/2019;2,12;1;8;35;;19;7;;1;17;8;52;2;149;1;1;70,28301887
SURORIENTE;META, BOYACA Y NARIÑO;270;SOGAMOSO;1/03/2019;3,68;1;38;59;;69;11;;;30;21;55;;283;2;2;76,90217391
SURORIENTE;META, BOYACA Y NARIÑO;250;TUNJA;1/03/2019;6,24;1;15;112;;65;12;1;1;36;31;60;1;334;4;3;53,52564103
SURORIENTE;META, BOYACA Y NARIÑO;435;TUQUERRES;1/03/2019;2,12;1;12;21;;29;5;;3;14;14;20;;118;1;1;55,66037736
SURORIENTE;META, BOYACA Y NARIÑO;423;UNICENTRO - PASTO;1/03/2019;2,12;1;1;49;;21;2;3;2;16;11;25;;130;1;1;61,32075472
SURORIENTE;META, BOYACA Y NARIÑO;251;VILLA DE LEYVA;1/03/2019;2,12;1;3;25;;15;5;;2;9;12;9;;80;1;1;37,73584906
SURORIENTE;META, BOYACA Y NARIÑO;410;VILLAVICENCIO;1/03/2019;5,24;1;20;296;1;67;21;;;56;13;46;;520;3;3;99,23664122
OCCIDENTE;VALLE Y EJE CAFETERO;460;ARMENIA;1/03/2019;7,24;1;1;315;;83;2;;;44;23;17;;485;5;3;66,98895028
OCCIDENTE;VALLE Y EJE CAFETERO;570;BUENAVENTURA;1/03/2019;4,68;1;;78;;26;9;;1;26;15;61;1;217;3;2;46,36752137
OCCIDENTE;VALLE Y EJE CAFETERO;580;BUGA;1/03/2019;3,68;1;9;56;;60;8;;1;31;13;57;;235;2;2;63,85869565
OCCIDENTE;VALLE Y EJE CAFETERO;285;CABLE PLAZA;1/03/2019;2,12;1;2;47;;9;6;1;;9;5;32;;111;1;1;52,35849057
OCCIDENTE;VALLE Y EJE CAFETERO;660;CARTAGO;1/03/2019;3,68;1;3;51;;63;5;;;39;14;158;;333;2;2;90,48913043
OCCIDENTE;VALLE Y EJE CAFETERO;474;DOS QUEBRADAS;1/03/2019;3,12;1;5;31;;33;3;;;23;3;31;;129;2;1;41,34615385
OCCIDENTE;VALLE Y EJE CAFETERO;280;MANIZALES;1/03/2019;6,8;1;;150;;57;6;2;;28;18;24;;285;4;4;41,91176471
OCCIDENTE;VALLE Y EJE CAFETERO;583;NUEVA OFICINA YUMBO;1/03/2019;3,12;1;2;43;;42;4;;;26;10;21;;148;2;1;47,43589744
OCCIDENTE;VALLE Y EJE CAFETERO;590;PALMIRA;1/03/2019;5,68;1;81;71;;96;17;2;;77;15;141;;500;4;2;88,02816901
OCCIDENTE;VALLE Y EJE CAFETERO;470;PEREIRA;1/03/2019;5,24;1;2;90;;41;8;;5;27;14;52;;239;3;3;45,61068702
OCCIDENTE;VALLE Y EJE CAFETERO;290;POPAYAN;1/03/2019;5,24;1;12;215;;67;1;;;40;28;42;;405;3;3;77,29007634
OCCIDENTE;VALLE Y EJE CAFETERO;600;TULUA;1/03/2019;7,8;1;17;99;;131;9;;1;47;21;89;1;415;5;4;53,20512821
OCCIDENTE;VALLE Y EJE CAFETERO;440;TUMACO;1/03/2019;3,68;1;9;159;;49;6;;2;24;12;28;;289;2;2;78,5326087
OCCIDENTE;VALLE Y EJE CAFETERO;291;UNIVERSIDAD DEL CAUCA;1/03/2019;1;0;;22;;12;;;;;2;;;36;1;0;36
OCCIDENTE;VALLE Y EJE CAFETERO;606;VIVA BUENAVENTURA;1/03/2019;2,12;1;1;33;;9;1;;;;7;;;51;1;1;24,05660377
BOGOTÁ Y PYME;BOGOTÁ CENTRO;141;AVENIDA SEXTA - BOGOTA;1/04/2019;2,12;1;17;38;;25;5;3;4;11;5;11;1;120;1;1;56,60377358
BOGOTÁ Y PYME;BOGOTÁ SUR ;130;BARRIO RESTREPO;1/04/2019;3,68;1;5;43;;48;10;2;;35;13;32;;188;2;2;51,08695652
BOGOTÁ Y PYME;BOGOTÁ CENTRO;19;BARRIO RICAURTE;1/04/2019;2,12;1;8;39;;13;17;2;1;9;;46;1;136;1;1;64,1509434
BOGOTÁ Y PYME;BOGOTÁ CENTRO;70;CALLE CATORCE;1/04/2019;8,24;1;26;141;;70;26;5;1;44;15;70;;398;6;3;48,30097087
BOGOTÁ Y PYME;BOGOTÁ CENTRO;26;LOS MINISTERIOS;1/04/2019;4,12;1;8;29;;30;13;;;11;8;108;;207;3;1;50,24271845
BOGOTÁ Y PYME;BOGOTÁ CENTRO;40;PRINCIPAL;1/04/2019;6,24;1;8;124;;46;21;2;2;18;15;39;;275;4;3;44,07051282
BOGOTÁ Y PYME;BOGOTÁ CENTRO;150;SAN DIEGO;1/04/2019;6,24;1;26;94;1;66;22;4;10;44;10;45;1;323;4;3;51,76282051
BOGOTÁ Y PYME;BOGOTÁ CENTRO;42;SANS FACON;1/04/2019;2,12;1;5;43;;18;5;1;7;6;9;13;;107;1;1;50,47169811
BOGOTÁ Y PYME;BOGOTÁ SUR ;129;SOSIEGO;1/04/2019;2,12;1;1;11;;13;2;4;;7;4;16;;58;1;1;27,35849057
BOGOTÁ Y PYME;BOGOTÁ NORTE;11;ANTIGUO COUNTRY;1/04/2019;2,12;1;;30;1;4;6;1;;2;3;8;2;57;1;1;26,88679245
BOGOTÁ Y PYME;BOGOTÁ CENTRO;66;AVENIDA CHILE;1/04/2019;3,68;1;3;52;;18;14;3;8;8;6;21;;133;2;2;36,14130435
BOGOTÁ Y PYME;BOGOTÁ NORTE;98;CANTON NORTE;1/04/2019;3,68;1;10;24;;19;24;10;;3;;18;2;110;2;2;29,89130435
BOGOTÁ Y PYME;BOGOTÁ NORTE;88;CEDRITOS;1/04/2019;3,12;1;7;34;;38;29;6;1;25;18;28;2;188;2;1;60,25641026
BOGOTÁ Y PYME;BOGOTÁ NORTE;63;CHICO - PARQUE 93;1/04/2019;2,68;1;;13;4;6;9;5;43;1;9;7;1;98;1;2;36,56716418
BOGOTÁ Y PYME;BOGOTÁ NORTE;29;LA CASTELLANA;1/04/2019;2,12;1;2;32;3;16;12;4;2;7;7;15;2;102;1;1;48,11320755
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;65;LA FLORESTA;1/04/2019;3,68;1;14;45;;30;21;1;6;12;17;17;2;165;2;2;44,83695652
BOGOTÁ Y PYME;BOGOTÁ NORTE;44;PLAZA IMPERIAL (SUBA);1/04/2019;3,12;1;5;117;;61;11;4;;31;24;23;;276;2;1;88,46153846
BOGOTÁ Y PYME;BOGOTÁ NORTE;45;SANTA FE;1/04/2019;3,12;1;1;136;;18;9;6;5;17;11;35;;238;2;1;76,28205128
BOGOTÁ Y PYME;BOGOTÁ CENTRO;170;SIETE DE AGOSTO;1/04/2019;2,12;1;1;17;;16;10;2;1;12;6;14;1;80;1;1;37,73584906
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;87;TITAN PLAZA;1/04/2019;3,12;1;1;110;1;48;8;5;3;24;21;27;;248;2;1;79,48717949
BOGOTÁ Y PYME;BOGOTÁ NORTE;41;TOBERIN;1/04/2019;2,68;1;2;56;;28;6;5;1;11;5;13;2;129;1;2;48,13432836
BOGOTÁ Y PYME;BOGOTÁ NORTE;39;UNICENTRO;1/04/2019;3,68;1;1;41;;35;16;7;;20;2;19;1;142;2;2;38,58695652
BOGOTÁ Y PYME;BOGOTÁ NORTE;22;USAQUEN;1/04/2019;3,12;1;;15;;24;30;;;18;3;3;2;95;2;1;30,44871795
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;49;ARRECIFES ;1/04/2019;3,12;1;11;32;;27;9;2;;15;3;25;1;125;2;1;40,06410256
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;80;CAN;1/04/2019;7,24;1;25;119;1;56;16;23;;33;9;67;4;353;5;3;48,75690608
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;12;CIUDAD UNIVERSITARIA;1/04/2019;2,12;1;4;17;;17;2;1;;9;3;22;;75;1;1;35,37735849
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;14;EL DORADO;1/04/2019;3,12;1;3;47;;31;3;4;2;7;8;21;;126;2;1;40,38461538
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;25;FERIA EXPOSICION;1/04/2019;3,68;1;7;42;;23;13;1;3;11;3;14;;117;2;2;31,79347826
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;38;FONTIBON;1/04/2019;3,68;1;6;43;;38;4;4;3;23;14;24;;159;2;2;43,20652174
BOGOTÁ Y PYME;BOGOTÁ CENTRO;160;GALERIAS;1/04/2019;3,68;1;2;34;1;29;8;4;;14;15;16;;123;2;2;33,42391304
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;53;HAYUELOS;1/04/2019;2,12;1;4;45;;34;10;;;22;15;26;2;158;1;1;74,52830189
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;115;PUENTE ARANDA;1/04/2019;3,12;1;16;39;2;25;6;1;40;17;2;43;3;194;2;1;62,17948718
BOGOTÁ Y PYME;BOGOTÁ CENTRO;48;PUNTO 52;1/04/2019;5,24;1;4;136;;22;11;12;;12;12;30;1;240;3;3;45,80152672
BOGOTÁ Y PYME;BOGOTÁ CENTRO;9;TEUSAQUILLO;1/04/2019;2,12;1;4;32;;15;6;2;2;8;1;26;3;99;1;1;46,69811321
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;730;ZONA INDUSTRIAL;1/04/2019;2,12;1;7;19;;5;5;1;;6;4;16;;63;1;1;29,71698113
BOGOTÁ Y PYME;BOGOTÁ SUR ;116;ALTAVISTA;1/04/2019;2,12;1;4;34;;26;2;1;;17;10;20;;114;1;1;53,77358491
BOGOTÁ Y PYME;BOGOTÁ SUR ;34;BARRIO CLARET;1/04/2019;2,12;1;5;16;;18;7;1;;6;6;12;1;72;1;1;33,96226415
BOGOTÁ Y PYME;BOGOTÁ SUR ;57;CAZUCA;1/04/2019;2,12;1;1;23;;18;7;;1;11;3;17;;81;1;1;38,20754717
BOGOTÁ Y PYME;BOGOTÁ SUR ;59;CENTRO MAYOR;1/04/2019;3,68;1;9;52;;66;23;4;;36;14;30;1;235;2;2;63,85869565
BOGOTÁ Y PYME;BOGOTÁ SUR ;670;CORABASTOS;1/04/2019;2,12;1;3;18;;19;8;1;8;14;5;15;;91;1;1;42,9245283
BOGOTÁ Y PYME;BOGOTÁ SUR ;13;DEL SUR;1/04/2019;2,12;1;11;43;;16;8;3;;13;4;19;;117;1;1;55,18867925
SURORIENTE;CUNDINAMARCA Y SUR;94;ESCUELA GONZALO JIMENEZ DE QUESADA;1/04/2019;1;0;;1;;13;;;;;;;;14;1;0;14
BOGOTÁ Y PYME;BOGOTÁ SUR ;15;KENNEDY;1/04/2019;7,24;1;11;87;;97;20;5;1;44;15;65;2;347;5;3;47,9281768
BOGOTÁ Y PYME;BOGOTÁ SUR ;18;MUZU;1/04/2019;3,68;1;1;143;;28;3;3;;16;9;67;;270;2;2;73,36956522
BOGOTÁ Y PYME;BOGOTÁ SUR ;86;PLAZA DE LAS AMERICAS;1/04/2019;2,12;1;;41;;22;12;;;12;11;22;1;121;1;1;57,0754717
SURORIENTE;CUNDINAMARCA Y SUR;33;SIBATE;1/04/2019;2,12;1;;40;;16;8;1;;13;9;33;1;121;1;1;57,0754717
BOGOTÁ Y PYME;BOGOTÁ SUR ;58;SOACHA;1/04/2019;2,12;1;;42;;38;10;;;20;6;12;;128;1;1;60,37735849
BOGOTÁ Y PYME;BOGOTÁ SUR ;35;VEINTE DE JULIO;1/04/2019;2,12;1;;41;;23;5;;;10;8;12;1;100;1;1;47,16981132
NOROCCIDENTE;ANTIOQUIA Y CHOCO;196;BELLO;1/04/2019;5,68;1;3;35;;85;13;1;;51;13;14;1;216;4;2;38,02816901
NOROCCIDENTE;ANTIOQUIA Y CHOCO;277;CALDAS;1/04/2019;2,68;1;;30;;41;10;3;;28;4;7;;123;1;2;45,89552239
NOROCCIDENTE;ANTIOQUIA Y CHOCO;215;CAREPA;1/04/2019;3,12;1;;9;;6;1;;;6;1;19;;42;2;1;13,46153846
NOROCCIDENTE;ANTIOQUIA Y CHOCO;205;CHIGORODO;1/04/2019;3,12;1;1;33;;18;;;;8;12;3;1;76;2;1;24,35897436
NOROCCIDENTE;ANTIOQUIA Y CHOCO;193;ENVIGADO;1/04/2019;3,12;1;;31;;51;13;5;;28;7;17;;152;2;1;48,71794872
NOROCCIDENTE;ANTIOQUIA Y CHOCO;192;ITAGUI;1/04/2019;3,68;1;;39;;75;10;5;1;26;14;28;3;201;2;2;54,61956522
NOROCCIDENTE;ANTIOQUIA Y CHOCO;279;PLATINO;1/04/2019;2,12;1;;16;;15;4;1;;4;7;6;1;54;1;1;25,47169811
NOROCCIDENTE;ANTIOQUIA Y CHOCO;380;QUIBDO;1/04/2019;7,24;1;7;41;;64;15;;;24;10;120;;281;5;3;38,8121547
NOROCCIDENTE;ANTIOQUIA Y CHOCO;185;RIONEGRO;1/04/2019;3,12;1;;27;;40;12;;;34;7;18;;138;2;1;44,23076923
NOROCCIDENTE;ANTIOQUIA Y CHOCO;213;RIONEGRO SAN NICOLAS - EXT;1/04/2019;2,12;1;;16;;22;6;2;;8;6;2;;62;1;1;29,24528302
NOROCCIDENTE;ANTIOQUIA Y CHOCO;211;SABANETA AVES MARIA;1/04/2019;2,12;1;;13;;25;7;1;;10;3;19;;78;1;1;36,79245283
NOROCCIDENTE;ANTIOQUIA Y CHOCO;210;YOLOMBO;1/04/2019;2,12;1;1;16;;12;1;;;5;9;5;;49;1;1;23,11320755
NOROCCIDENTE;CARIBE NORTE;308;AMERICANO;1/04/2019;3,12;1;15;57;;45;19;1;;34;7;75;;253;2;1;81,08974359
NOROCCIDENTE;CARIBE NORTE;681;AVENIDA BOYACA;1/04/2019;2,12;1;;27;;19;5;1;;8;5;22;;87;1;1;41,03773585
NOROCCIDENTE;CARIBE NORTE;220;BARRANQUILLA;1/04/2019;7,8;1;1;130;;87;12;2;5;61;28;52;;378;5;4;48,46153846
NOROCCIDENTE;CARIBE NORTE;221;CALLE 72;1/04/2019;5,24;1;15;115;2;57;13;2;5;32;4;57;2;304;3;3;58,01526718
NOROCCIDENTE;CARIBE NORTE;229;CALLE MURILLO;1/04/2019;2,12;1;1;20;;25;6;3;;23;3;30;;111;1;1;52,35849057
NOROCCIDENTE;CARIBE NORTE;682;DEL COUNTRY;1/04/2019;4,68;1;1;55;;50;12;7;5;29;6;50;2;217;3;2;46,36752137
NOROCCIDENTE;CARIBE NORTE;304;MAICAO;1/04/2019;2,12;1;;31;;23;2;;;17;2;40;;115;1;1;54,24528302
NOROCCIDENTE;CARIBE NORTE;408;MARINELO;1/04/2019;2,12;1;;303;;30;1;2;;23;5;22;1;387;1;1;182,5471698
NOROCCIDENTE;CARIBE NORTE;301;MERCADO NUEVO - VALLEDUPAR;1/04/2019;2,12;1;;25;;26;6;3;;14;;30;1;105;1;1;49,52830189
NOROCCIDENTE;CARIBE NORTE;405;RIOHACHA;1/04/2019;4,24;1;1;85;3;54;2;1;;26;6;73;;251;2;3;59,19811321
NOROCCIDENTE;CARIBE NORTE;400;SANTA MARTA;1/04/2019;7,24;1;5;105;;98;14;1;1;43;14;75;1;357;5;3;49,30939227
NOROCCIDENTE;CARIBE NORTE;687;SOLEDAD;1/04/2019;3,12;1;;24;;30;8;4;;21;4;21;;112;2;1;35,8974359
NOROCCIDENTE;CARIBE NORTE;300;VALLEDUPAR;1/04/2019;6,24;1;5;144;;68;14;3;;54;8;89;;385;4;3;61,69871795
NOROCCIDENTE;CARIBE NORTE;227;VIA 40;1/04/2019;2,12;1;3;35;;22;11;2;3;18;6;21;3;124;1;1;58,49056604
NOROCCIDENTE;CARIBE SUR;234;BASE NAVAL BOLIVAR;1/04/2019;1;0;4;5;;7;11;2;;;;;;29;1;0;29
NOROCCIDENTE;CARIBE SUR;230;CARTAGENA;1/04/2019;7,8;1;13;181;1;95;26;4;5;83;16;126;;550;5;4;70,51282051
NOROCCIDENTE;CARIBE SUR;240;MOMPOX;1/04/2019;2,12;1;5;20;;20;6;;;20;6;29;;106;1;1;50
NOROCCIDENTE;CARIBE SUR;310;MONTERIA;1/04/2019;8,24;1;3;58;;122;14;2;1;74;8;68;;350;6;3;42,47572816
NOROCCIDENTE;CARIBE SUR;309;PLAZA BOCAGRANDE;1/04/2019;1,56;0;16;19;;15;4;1;;;5;;;60;1;1;38,46153846
NOROCCIDENTE;CARIBE SUR;311;PLAZA DE MERCADO MONTERIA;1/04/2019;4,68;1;1;27;2;41;11;;;29;3;54;;168;3;2;35,8974359
NOROCCIDENTE;CARIBE SUR;305;PLAZUELA;1/04/2019;3,12;1;3;46;;37;6;1;;15;14;35;;157;2;1;50,32051282
NOROCCIDENTE;CARIBE SUR;640;SAN ANDRES;1/04/2019;3,68;1;3;12;;36;1;;;8;6;1;;67;2;2;18,20652174
NOROCCIDENTE;CARIBE SUR;306;SAN FELIPE;1/04/2019;2,12;1;23;30;;17;4;3;;;2;;2;81;1;1;38,20754717
NOROCCIDENTE;CARIBE SUR;650;SINCELEJO;1/04/2019;6,24;1;9;63;;63;2;1;;19;19;110;;286;4;3;45,83333333
NOROCCIDENTE;CARIBE SUR;231;TERMINAL MARITIMO;1/04/2019;5,68;1;32;33;;40;27;;;30;5;31;1;199;4;2;35,03521127
NOROCCIDENTE;CARIBE SUR;315;TIERRA ALTA;1/04/2019;0,56;0;;15;;5;1;;;;1;;1;23;0;1;41,07142857
NOROCCIDENTE;MEDELLIN;278;BELEN;1/04/2019;3,12;1;;43;;37;10;3;;23;4;24;;144;2;1;46,15384615
NOROCCIDENTE;MEDELLIN;191;CENTRO ADMINIS. LA ALPUJARRA;1/04/2019;3,68;1;1;20;;26;1;4;;12;8;4;1;77;2;2;20,92391304
NOROCCIDENTE;MEDELLIN;208;EL POBLADO;1/04/2019;2,12;1;3;10;;20;10;5;;17;2;15;3;85;1;1;40,09433962
NOROCCIDENTE;MEDELLIN;187;GUAYABAL;1/04/2019;2,12;1;4;17;;18;4;;;7;3;11;1;65;1;1;30,66037736
NOROCCIDENTE;MEDELLIN;190;GUAYAQUIL;1/04/2019;2,68;1;5;11;;53;12;3;;34;5;11;;134;1;2;50
NOROCCIDENTE;MEDELLIN;182;LA PLAYA;1/04/2019;3,68;1;5;27;;38;11;1;;20;12;42;1;157;2;2;42,66304348
NOROCCIDENTE;MEDELLIN;186;LAURELES;1/04/2019;3,12;1;1;27;;39;8;1;;23;3;41;1;144;2;1;46,15384615
NOROCCIDENTE;MEDELLIN;180;MEDELLIN;1/04/2019;7,68;1;4;105;;144;13;1;3;90;14;98;;472;6;2;61,45833333
NOROCCIDENTE;MEDELLIN;264;ONE PLAZA;1/04/2019;1,56;0;2;9;;2;7;2;;;2;;1;25;1;1;16,02564103
NOROCCIDENTE;MEDELLIN;183;PALACE;1/04/2019;3,12;1;1;46;1;41;10;1;;20;4;16;1;141;2;1;45,19230769
NOROCCIDENTE;MEDELLIN;181;SAN FERNANDO PLAZA;1/04/2019;3,12;1;;11;2;12;4;;46;4;3;;;82;2;1;26,28205128
NOROCCIDENTE;MEDELLIN;212;SANTA TERESITA;1/04/2019;2,12;1;;6;;23;5;3;;15;4;14;;70;1;1;33,01886792
SURORIENTE;ORIENTAL;610;ARAUCA;1/04/2019;4,68;1;20;39;;68;10;;;56;3;70;1;267;3;2;57,05128205
SURORIENTE;ORIENTAL;490;BARBOSA;1/04/2019;2,68;1;14;12;;22;7;;2;10;5;26;2;100;1;2;37,31343284
SURORIENTE;ORIENTAL;500;BARRANCABERMEJA;1/04/2019;4,68;1;4;61;;73;5;2;1;42;4;46;;238;3;2;50,85470085
SURORIENTE;ORIENTAL;480;BUCARAMANGA;1/04/2019;9,8;1;10;100;1;153;20;10;3;114;41;99;4;555;7;4;56,63265306
SURORIENTE;ORIENTAL;484;CABECERA DEL LLANO;1/04/2019;4,68;1;24;113;1;45;20;4;5;33;20;29;3;297;3;2;63,46153846
SURORIENTE;ORIENTAL;450;CUCUTA;1/04/2019;7,24;1;14;93;;103;19;;;60;18;37;1;345;5;3;47,6519337
SURORIENTE;ORIENTAL;494;FLORIDA BLANCA;1/04/2019;3,12;1;2;55;1;71;11;3;;37;19;23;3;225;2;1;72,11538462
